date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:13:49	22749/22749	---M--	200	added ('OK')	image/jpeg	etag:%22125e112-58dd-5ba0725d16a10%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-4.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-4.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:50	24943/24943	---M--	200	added ('OK')	image/jpeg	etag:%22125e113-616f-5ba0725e81aa5%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-5.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-5.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:51	22297/22297	---M--	200	added ('OK')	image/jpeg	etag:%22125e115-5719-5ba0725e85155%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-6.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-6.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:52	28308/28308	---M--	200	added ('OK')	image/jpeg	etag:%22125e11c-6e94-5ba0725fd2172%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-7.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-7.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:54	30075/30075	---M--	200	added ('OK')	image/jpeg	etag:%22125e11b-757b-5ba0725fd5ff2%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-8.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-8.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:54	18980/18980	---M--	200	added ('OK')	image/jpeg	etag:%22125e11d-4a24-5ba072612c097%22	https://thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-9.jpg	thegenius.co/html/crsine_new/assets/images/gallery/gallery-1-9.jpg	(from https://thegenius.co/html/crsine_new/gallery.html)
05:13:55	26173/26173	---M--	200	added ('OK')	image/png	etag:%22125e1ea-663d-5ba0727c6ec88%22	https://thegenius.co/html/crsine_new/assets/images/shapes/404-bg.png	thegenius.co/html/crsine_new/assets/images/shapes/404-bg.png	(from https://thegenius.co/html/crsine_new/404.html)
05:13:56	8577/8577	---M--	200	added ('OK')	image/jpeg	etag:%22125e174-2181-5ba0726648df5%22	https://thegenius.co/html/crsine_new/assets/images/products/product-1-1.jpg	thegenius.co/html/crsine_new/assets/images/products/product-1-1.jpg	(from https://thegenius.co/html/crsine_new/shop.html)
05:13:57	4201/4201	---M--	200	added ('OK')	image/jpeg	etag:%22125e175-1069-5ba0726643fd5%22	https://thegenius.co/html/crsine_new/assets/images/products/product-1-2.jpg	thegenius.co/html/crsine_new/assets/images/products/product-1-2.jpg	(from https://thegenius.co/html/crsine_new/shop.html)
05:13:58	7529/7529	---M--	200	added ('OK')	image/jpeg	etag:%22125e177-1d69-5ba072676d98b%22	https://thegenius.co/html/crsine_new/assets/images/products/product-1-3.jpg	thegenius.co/html/crsine_new/assets/images/products/product-1-3.jpg	(from https://thegenius.co/html/crsine_new/shop.html)
05:13:59	9489/9489	---M--	200	added ('OK')	image/jpeg	etag:%22125e17f-2511-5ba072676a6c3%22	https://thegenius.co/html/crsine_new/assets/images/products/product-1-4.jpg	thegenius.co/html/crsine_new/assets/images/products/product-1-4.jpg	(from https://thegenius.co/html/crsine_new/shop.html)
05:14:00	8031/8031	---M--	200	added ('OK')	image/jpeg	etag:%22125e181-1f5f-5ba0726885230%22	https://thegenius.co/html/crsine_new/assets/images/products/product-1-5.jpg	thegenius.co/html/crsine_new/assets/images/products/product-1-5.jpg	(from https://thegenius.co/html/crsine_new/shop.html)
05:14:01	5717/5717	---M--	200	added ('OK')	image/jpeg	etag:%22125e182-1655-5ba0726884e48%22	https://thegenius.co/html/crsine_new/assets/images/products/product-1-6.jpg	thegenius.co/html/crsine_new/assets/images/products/product-1-6.jpg	(from https://thegenius.co/html/crsine_new/shop.html)
05:14:02	6643/6643	---M--	200	added ('OK')	image/jpeg	etag:%22125e186-19f3-5ba07269aff6e%22	https://thegenius.co/html/crsine_new/assets/images/products/product-d-1-1.jpg	thegenius.co/html/crsine_new/assets/images/products/product-d-1-1.jpg	(from https://thegenius.co/html/crsine_new/shop-details.html)
05:14:03	5080/5080	---M--	200	added ('OK')	image/jpeg	etag:%2212140dd-13d8-5ba0724ece245%22	https://thegenius.co/html/crsine_new/assets/images/blog/blog-comment-1-1.jpg	thegenius.co/html/crsine_new/assets/images/blog/blog-comment-1-1.jpg	(from https://thegenius.co/html/crsine_new/shop-details.html)
05:14:04	5396/5396	---M--	200	added ('OK')	image/jpeg	etag:%22121412d-1514-5ba0724fbbb0b%22	https://thegenius.co/html/crsine_new/assets/images/blog/blog-comment-1-2.jpg	thegenius.co/html/crsine_new/assets/images/blog/blog-comment-1-2.jpg	(from https://thegenius.co/html/crsine_new/shop-details.html)
05:14:07	164043/164043	---M--	200	added ('OK')	image/png	etag:%2212140a9-280cb-5ba0724c2386a%22	https://thegenius.co/html/crsine_new/assets/images/blog/blog-1-4.png	thegenius.co/html/crsine_new/assets/images/blog/blog-1-4.png	(from https://thegenius.co/html/crsine_new/news.html)
05:14:09	214276/214276	---M--	200	added ('OK')	image/png	etag:%2212140b0-34504-5ba0724dda3ef%22	https://thegenius.co/html/crsine_new/assets/images/blog/blog-1-5.png	thegenius.co/html/crsine_new/assets/images/blog/blog-1-5.png	(from https://thegenius.co/html/crsine_new/news.html)
05:14:10	49697/49697	---M--	200	added ('OK')	image/jpeg	etag:%22121412e-c221-5ba072501e52a%22	https://thegenius.co/html/crsine_new/assets/images/blog/blog-d-1-1.jpg	thegenius.co/html/crsine_new/assets/images/blog/blog-d-1-1.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:10	6122/6122	---M--	200	added ('OK')	image/jpeg	etag:%2212140dc-17ea-5ba0724eca7ad%22	https://thegenius.co/html/crsine_new/assets/images/blog/blog-author-1-1.jpg	thegenius.co/html/crsine_new/assets/images/blog/blog-author-1-1.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:10	199459/199459	---M--	200	added ('OK')	image/png	etag:%2212140d1-30b23-5ba0724de53b7%22	https://thegenius.co/html/crsine_new/assets/images/blog/blog-1-6.png	thegenius.co/html/crsine_new/assets/images/blog/blog-1-6.png	(from https://thegenius.co/html/crsine_new/news.html)
05:14:11	2510/2510	---M--	200	added ('OK')	image/jpeg	etag:%221214143-9ce-5ba072537b67b%22	https://thegenius.co/html/crsine_new/assets/images/blog/lp-1-1.jpg	thegenius.co/html/crsine_new/assets/images/blog/lp-1-1.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:12	2437/2437	---M--	200	added ('OK')	image/jpeg	etag:%22121417b-985-5ba07253d733b%22	https://thegenius.co/html/crsine_new/assets/images/blog/lp-1-2.jpg	thegenius.co/html/crsine_new/assets/images/blog/lp-1-2.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:13	2726/2726	---M--	200	added ('OK')	image/jpeg	etag:%22121417c-aa6-5ba0725471fc9%22	https://thegenius.co/html/crsine_new/assets/images/blog/lp-1-3.jpg	thegenius.co/html/crsine_new/assets/images/blog/lp-1-3.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:14	3335/3335	---M--	200	added ('OK')	image/jpeg	etag:%22121412f-d07-5ba07250b4b69%22	https://thegenius.co/html/crsine_new/assets/images/blog/gallery-1-1.jpg	thegenius.co/html/crsine_new/assets/images/blog/gallery-1-1.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:15	3411/3411	---M--	200	added ('OK')	image/jpeg	etag:%22121413c-d53-5ba072510aa68%22	https://thegenius.co/html/crsine_new/assets/images/blog/gallery-1-2.jpg	thegenius.co/html/crsine_new/assets/images/blog/gallery-1-2.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:16	2916/2916	---M--	200	added ('OK')	image/jpeg	etag:%22121413d-b64-5ba072519e1c7%22	https://thegenius.co/html/crsine_new/assets/images/blog/gallery-1-3.jpg	thegenius.co/html/crsine_new/assets/images/blog/gallery-1-3.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:17	2672/2672	---M--	200	added ('OK')	image/jpeg	etag:%22121413e-a70-5ba07251ee307%22	https://thegenius.co/html/crsine_new/assets/images/blog/gallery-1-4.jpg	thegenius.co/html/crsine_new/assets/images/blog/gallery-1-4.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:18	3156/3156	---M--	200	added ('OK')	image/jpeg	etag:%221214141-c54-5ba072528ed55%22	https://thegenius.co/html/crsine_new/assets/images/blog/gallery-1-5.jpg	thegenius.co/html/crsine_new/assets/images/blog/gallery-1-5.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
05:14:19	3053/3053	---M--	200	added ('OK')	image/jpeg	etag:%221214142-bed-5ba07252dee95%22	https://thegenius.co/html/crsine_new/assets/images/blog/gallery-1-6.jpg	thegenius.co/html/crsine_new/assets/images/blog/gallery-1-6.jpg	(from https://thegenius.co/html/crsine_new/news-details.html)
